item2011;Einfacher Kupfer-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2021;Einfacher Kupfer-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;32% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2031;Einfacher Kupfer-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 2;1000 Gold
item2041;Einfacher Kupfer-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 2;1000 Gold
item2051;Einfache Kupfer-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 2;1000 Gold
item2012;Verstärkter Kupfer-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2022;Verstärkter Kupfer-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;35% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2032;Verstärkter Kupfer-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 5;1500 Gold
item2042;Verstärkter Kupfer-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 5;1500 Gold
item2052;Verstärkte Kupfer-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;45% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 5;1500 Gold
item2013;Einfacher Eisen-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2023;Einfacher Eisen-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;37% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2033;Einfacher Eisen-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 7;2000 Gold
item2043;Einfacher Eisen-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 7;2000 Gold
item2053;Einfache Eisen-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;47% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 7;2000 Gold
item2014;Verstärkter Eisen-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2024;Verstärkter Eisen-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;40% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2034;Verstärkter Eisen-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 10;3100 Gold
item2044;Verstärkter Eisen-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 10;3100 Gold
item2054;Verstärkte Eisen-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;50% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 10;3100 Gold
item2015;Einfacher Sorandil-Rundschild;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt mittlere Menge Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;40 Behinderung;2.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2025;Einfacher Sorandil-Turmschild;5.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt sehr wenig Erfahrung bis zur Perfektion ;42% Rüstschutz bei Block;80 Behinderung;4.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2035;Einfacher Sorandil-Drachenschild;14.0% Rüstschutz;Schildblock:  anfangs hoch - benötigt wenig Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;50 Behinderung;3.200 kg, Metallrüstungen, Stufe 12;4000 Gold
item2045;Einfacher Sorandil-Buckler;5.0% Rüstschutz;Schildblock:  anfangs sehr gering - benötigt sehr viel Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;10 Behinderung;1.000 kg, Metallrüstungen, Stufe 12;4000 Gold
item2055;Einfache Sorandil-Tartsche;14.0% Rüstschutz;Schildblock:  anfangs mittelmäßig - benötigt viel Erfahrung bis zur Perfektion ;52% Rüstschutz bei Block;30 Behinderung;1.600 kg, Metallrüstungen, Stufe 12;4000 Gold
