item1611;Einfacher Leinen-Spitzhut;0.0% Rüstschutz, 0.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 1;1000 Gold
item1612;Einfache Leinen-Robe;0.0% Rüstschutz, 0.8 Absorb;1.000 kg, Stoffrüstungen, Stufe 1;1500 Gold
item1616;Einfache Leinen-Haube;0.8% Rüstschutz, 0.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 1;1000 Gold
item1617;Einfacher Leinen-Gambeson;1.2% Rüstschutz, 1.1 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 1;1500 Gold
item1613;Einfache Leinen-Handschuhe;0.0% Rüstschutz, 0.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1614;Einfache Leinen-Hose;0.0% Rüstschutz, 0.5 Absorb;0.600 kg, Stoffrüstungen, Stufe 2;1400 Gold
item1615;Einfache Leinen-Schuhe;0.0% Rüstschutz, 0.4 Absorb;0.400 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1618;Einfache Leinen-Armwickel;0.6% Rüstschutz, 0.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1619;Einfache Leinen-Beinlinge;0.8% Rüstschutz, 0.7 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 2;1400 Gold
item1620;Einfache Leinen-Stiefel;0.6% Rüstschutz, 0.5 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 2;1000 Gold
item1621;Verstärkter Leinen-Spitzhut;0.0% Rüstschutz, 0.8 Absorb;0.600 kg, Stoffrüstungen, Stufe 4;1500 Gold
item1622;Verstärkte Leinen-Robe;0.0% Rüstschutz, 1.2 Absorb;1.000 kg, Stoffrüstungen, Stufe 4;2300 Gold
item1626;Verstärkte Leinen-Haube;0.8% Rüstschutz, 1.1 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 4;1500 Gold
item1627;Verstärkter Leinen-Gambeson;1.2% Rüstschutz, 1.6 Absorb;4 Behinderung;1.600 kg, Stoffrüstungen, Stufe 4;2300 Gold
item1623;Verstärkte Leinen-Handschuhe;0.0% Rüstschutz, 0.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1624;Verstärkte Leinen-Hose;0.0% Rüstschutz, 0.8 Absorb;0.600 kg, Stoffrüstungen, Stufe 5;2100 Gold
item1625;Verstärkte Leinen-Schuhe;0.0% Rüstschutz, 0.6 Absorb;0.400 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1628;Verstärkte Leinen-Armwickel;0.6% Rüstschutz, 0.8 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1629;Verstärkte Leinen-Beinlinge;0.8% Rüstschutz, 1.1 Absorb;3 Behinderung;1.000 kg, Stoffrüstungen, Stufe 5;2100 Gold
item1630;Verstärkte Leinen-Stiefel;0.6% Rüstschutz, 0.8 Absorb;2 Behinderung;0.700 kg, Stoffrüstungen, Stufe 5;1600 Gold
item1631;Einfacher Woll-Spitzhut;0.0% Rüstschutz, 1.0 Absorb;0.600 kg, Stoffrüstungen, Stufe 6;2000 Gold
