item1;Kupfererz;Rohstoff (Verarbeitung ab Stufe 0);;0.400 kg;20 Gold / Stk.
item6;Kupferbarren;Rohstoff (Verarbeitung ab Stufe 0);;0.200 kg;60 Gold / Stk.
item11;Kalkstein;Rohstoff (Verarbeitung ab Stufe 0);;0.600 kg;20 Gold / Stk.
item16;Kalkziegel;Rohstoff (Verarbeitung ab Stufe 0);;0.600 kg;60 Gold / Stk.
item21;Buchenholz;Rohstoff (Verarbeitung ab Stufe 0);;0.400 kg;20 Gold / Stk.
item26;Buchenbretter;Rohstoff (Verarbeitung ab Stufe 0);;0.300 kg;60 Gold / Stk.
item31;Leinen;Rohstoff (Verarbeitung ab Stufe 0);;0.250 kg;20 Gold / Stk.
item36;Leinentuch;Rohstoff (Verarbeitung ab Stufe 0);;0.150 kg;60 Gold / Stk.
item41;Weichpelze;Rohstoff (Verarbeitung ab Stufe 0);;0.400 kg;20 Gold / Stk.
item46;Weichleder;Rohstoff (Verarbeitung ab Stufe 0);;0.250 kg;60 Gold / Stk.
item51;Magiestaub;Rohstoff (Verarbeitung ab Stufe 0);;0.100 kg;20 Gold / Stk.
